Date,CompanyPostalCode,County,CategoryId,CategoryName,LaborRate,MeanIncome,HousePrice,BCI_County_TimeSeries
11/1/2020,92563,Riverside County,117272,electrical work,50,121519,121519,6845
11/1/2020,90606,Los Angeles County,116191,flooring,35,87908,87908,6906
11/1/2020,92618,Orange County,116412,interior painting,55,145826,145826,7157
11/1/2020,95973,Butte County,116220,exterior painting,50,100204,100204,6780
11/1/2020,92117,San Diego County,116492,roofing,35,109276,109276,7005
11/1/2020,92081,San Diego County,115403,deck | patio,75,99684,99684,7005
11/1/2020,90220,Los Angeles County,117084,window,40,71566,71566,6906
11/1/2020,95361,Stanislaus County,114651,doors & casings,95,100728,100728,6777
11/1/2020,90606,Los Angeles County,114821,flooring,35,87908,87908,6906
11/1/2020,94121,San Francisco County,115460,interior painting,85,149569,149569,8238
11/1/2020,94941,Marin County,117542,hvac,75,246206,246206,7439
11/1/2020,92081,San Diego County,116678,interior painting,75,99684,99684,7005
11/1/2020,92394,San Bernardino County,116685,powder room,45,94001,94001,6752
11/1/2020,90606,Los Angeles County,114839,mechanical,35,87908,87908,6906
11/1/2020,94941,Marin County,117533,interior & exterior painting,75,246206,246206,7439
11/1/2020,92394,San Bernardino County,117067,flooring,35,94001,94001,6752
11/1/2020,94553,Contra Costa County,115819,tiling,50,128626,128626,7245
11/1/2020,95973,Butte County,116350,exterior siding,50,100204,100204,6780
11/1/2020,90606,Los Angeles County,114842,flooring,35,87908,87908,6906
11/1/2020,90249,Los Angeles County,115377,laundry room,65,82585,82585,6906
11/1/2020,92081,San Diego County,115404,electrical work,75,99684,99684,7005
11/1/2020,92394,San Bernardino County,116684,site preparation & maintenance,45,94001,94001,6752
11/1/2020,95603,Placer County,115390,insulation,60,98616,98616,7000
11/1/2020,95337,San Joaquin County,117148,exterior painting,35,103772,103772,6877
11/1/2020,92653,Orange County,115199,electrical work,50,155769,155769,7157
11/1/2020,95337,San Joaquin County,117147,exterior siding,60,103772,103772,6877
11/1/2020,90606,Los Angeles County,116188,mechanical,35,87908,87908,6906
11/1/2020,92081,San Diego County,116669,powder room,75,99684,99684,7005
11/1/2020,90249,Los Angeles County,116119,electrical work,65,82585,82585,6906
11/1/2020,92394,San Bernardino County,116687,acoustic panel ceiling tile,45,94001,94001,6752
11/1/2020,90220,Los Angeles County,117083,interior & exterior painting,40,71566,71566,6906
11/1/2020,94941,Marin County,117532,deck | patio,75,246206,246206,7439
11/1/2020,92653,Orange County,115198,plumbing work,50,155769,155769,7157
11/1/2020,95973,Butte County,116257,exterior siding,50,100204,100204,6780
11/1/2020,90706,Los Angeles County,115858,interior painting,35,79884,79884,6906
11/1/2020,95973,Butte County,116338,exterior painting,50,100204,100204,6780
11/1/2020,90706,Los Angeles County,115852,site preparation & maintenance,35,79884,79884,6906
11/1/2020,95337,San Joaquin County,116712,roofing,40,103772,103772,6877
11/1/2020,92394,San Bernardino County,116673,powder room,25,94001,94001,6752
11/1/2020,90706,Los Angeles County,115859,plumbing work,35,79884,79884,6906
11/1/2020,92618,Orange County,116415,electrical work,55,145826,145826,7157
11/1/2020,92618,Orange County,116414,doors & casings,55,145826,145826,7157
11/1/2020,94121,San Francisco County,117493,site preparation & maintenance,85,149569,149569,8238
11/1/2020,95747,Placer County,115167,design & permit service,50,130719,130719,7000
11/1/2020,90220,Los Angeles County,116850,electrical work,40,71566,71566,6906
11/1/2020,92618,Orange County,116413,window,55,145826,145826,7157
